item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
1,利用废旧轮胎制取再生胶系统,CN209078969U,2019.07.09,2.02E+12,2016.08.31,浙江菱正环保科技有限公司,余宗伟,317200浙江省台州市天台县福溪接到莪园工业园区工南东路11号,B29B17/00(2006.01)I;
2,一次性艾灸,CN209075440U,2019.07.09,2.02E+12,2017.07.18,湖北蕲艾堂科技有限公司,田群,435300湖北省黄冈市蕲春县李时珍医药工业园,A61H39/06(2006.01)I
3,马桶座和马桶盖的通用升降装置,CN209074415U,2019.07.09,2.02E+12,2016.11.21,U·西格尔;??A·瓦克曼,U·西格尔;??A·瓦克曼,以色列特尔蒙德,A47K13/00(2006.01)I;
4,电动指甲打磨器,CN209073638U,2019.07.09,2.02E+12,2016.01.28,深圳瀚飞科技开发有限公司,韩性峰,518000广东省深圳市南山区创业路中兴工业城4栋5楼513房,A45D29/05(2006.01)I
5,一种可视化眼部按摩贴片,CN209075416U,2019.07.09,201720644232X,2017.05.31,宁波明锐工业产品设计有限公司,鲍于明,315000浙江省宁波市江东区江东北路375号006幢宁波和丰创意广场丰庭楼605室,A61H23/02(2006.01)I;??A61F7/00(2006.01)I  
6,快速除味机,CN209075586U,2019.07.09,2.02E+12,2017.07.07,郑杰,郑杰,564100贵州省遵义市湄潭县永兴镇永兴桥村石坝子组18号,A61L9/14(2006.01)I;??B01D53/04(2006.01)I
7,一种牙科种植用磨骨钻,CN209074940U,2019.07.09,2.02E+12,2017.08.15,佛山市安齿生物科技有限公司,张潇;,528000广东省佛山市南海区桂城街道平洲永安北路1号金谷光电产业社区A座第六层602单元,A61C3/02(2006.01)I
8,枸橼酸抗凝装置,CN209075635U,2019.07.09,2.02E+12,2017.07.31,上海交通大学医学院附属第九人民医院,丁峰;,200011上海市黄浦区制造局路639号,A61M1/14(2006.01)I
9,一种中医脉象数据采集装置,CN209074584U,2019.07.09,2.02E+12,2017.08.02,天津慧医谷科技有限公司,董玉舒;??赵亮;??石春刚,300384天津市滨海新区高新区华苑产业区（环外）海泰创新六路2号16号楼-1-301,A61B5/02(2006.01)I;??A61B5/00(2006.01)I
10,一种简便安全可更换的艾灸架,CN209075441U,2019.07.09,2.02E+12,2017.08.15,上海市针灸经络研究所,马晓芃;,200030上海市徐汇区宛平南路650号,A61H39/06(2006.01)I
11,一种多功能撑衣杆,CN209074068U,2019.07.09,2.02E+12,2017.12.08,西安智盛锐芯半导体科技有限公司,李雯,710075陕西省西安市高新区高新路36号A1号楼二层A19室,A47G25/02(2006.01)I
12,一种可拆开艾灸筒,CN209075442U,2019.07.09,2.02E+12,2017.08.15,上海市针灸经络研究所,谢晨;,200030上海市徐汇区宛平南路650号,A61H39/06(2006.01)I
13,一种医院病案管理用病历运送装置,CN209075290U,2019.07.09,2.02E+12,2017.12.11,华北石油管理局总医院,郭萍;,062552河北省沧州市任丘市会战南道华北石油管理局总医院,A61G12/00(2006.01)I
14,压舌板,CN209074706U,2019.07.09,2.02E+12,2017.08.25,宁乡县人民医院,刘霞;??谢华,410600湖南省长沙市宁乡县玉潭镇一环路209号,A61B13/00(2006.01)I;??A61M31/00(2006.01)I
15,一种保温型咖啡壶,CN209074013U,2019.07.09,2.02E+12,2017.09.05,浙江诺维雅工贸有限公司,胡华成,321200浙江省金华市武义县泉溪镇金岩山工业区,A47G19/14(2006.01)I;??A47G23/04(2006.01)I
16,一种高实用性新型滤网杯套,CN209074017U,2019.07.09,201721167194X,2017.09.13,深圳市科安硅胶制品有限公司,彭玉枝,518000广东省深圳市龙岗区平湖街道上木古社区彩姿北路61号A栋一至三楼,A47G19/22(2006.01)I
17,肌肉电刺激装置,CN209075850U,2019.07.09,2.02E+12,2017.09.25,株式会社MTG,松下刚,日本国爱知县名古屋市中村区本阵通二丁目32番,A61N1/36(2006.01)I;
18,一种带推进器的艾灸盒,CN209075443U,2019.07.09,2.02E+12,2017.09.28,广州市浩洋科技有限公司,张竞,510000广东省广州市番禺区石基镇市莲路石基村段82号之一（厂房A）首层后半部分及二层,A61H39/06(2006.01)I
19,一种高效舒适省时鼻腔冲洗器,CN209075431U,2019.07.09,2.02E+12,2017.10.16,兴平市人民医院,肖宏科;??叶倍含,713100陕西省咸阳市兴平市金城路15号,A61H35/04(2006.01)I;??A61M31/00(2006.01)I
