item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
1,包含可聚合紫外线吸收剂的微结构化光学膜,CN102307917B,2019.07.12,2.0098E+12,2009.12.17,3M创新有限公司,布赖恩·V·亨特;??埃里克·W·纳尔逊,美国明尼苏达州,C08F265/04(2006.01)I;
2,从不同来源收集的媒体元数据的相关,CN102804797B,2019.07.12,2.0098E+12,2009.10.15,TiVo解决方案有限公司,托德·库利克;,美国加利福尼亚州圣卡洛斯,H04N7/173(2011.01)I;
3,可分度的钻头镶片,CN102886550B,2019.07.12,2.0121E+12,2012.07.20,钴碳化钨硬质合金印度有限公司,K·拉梅什,印度卡纳塔克邦,B23B51/00(2006.01)I
4,能量存储系统,CN102900398B,2019.07.12,2.0121E+12,2012.07.27,桑德克斯有线有限公司,G.H.梅森;,英国汉普郡,E21B41/00(2006.01)I
5,用于计算机支持地显示或分析医学检查数据的方法和装置,CN102915400B,2019.07.12,2.0121E+12,2012.08.02,西门子公司,T.格斯勒;,德国慕尼黑,G16H30/20(2018.01)I
6,基于AUTOLISP语言的冲击式转轮加工图绘制方法,CN103123661B,2019.07.12,201310074614X,2013.03.08,重庆云河水电股份有限公司,韩东龙;??吴铁民,404300重庆市忠县忠州镇忠州大道山东路,G06F17/50(2006.01)I
7,用于狭窄病变和溶解血栓疗法的切变控制释放,CN103221070B,2019.07.12,2.0118E+12,2011.08.30,哈佛大学校长及研究员协会,唐纳德·E·英格贝尔;,美国马萨诸塞州,A61K47/69(2017.01)I
8,用于面向服务的系统的服务等级协议转换,CN103327003B,2019.07.12,2.0131E+12,2013.03.19,SAP欧洲公司,W.吉拉尼;??U.温克勒,德国瓦尔多夫,H04L29/06(2006.01)I
9,确定第一和第二图像间的对应关系的方法以及确定摄像机姿态的方法,CN103415860B,2019.07.12,2.0118E+12,2011.01.27,苹果公司,S·本希马宁;??D·乌布利希,美国加利福尼亚,G06K9/62(2006.01)I;??G06T7/73(2017.01)I
10,以近光和远光输出两者且无活动部分为特征的头灯,CN103423685B,2019.07.12,2.0131E+12,2013.05.16,奥斯兰姆施尔凡尼亚公司,L.M.赖斯;??T.特斯诺,美国马萨诸塞州,F21S41/141(2018.01)I;
11,成像装置和控制成像装置的显影单元的方法,CN103425031B,2019.07.12,2.0131E+12,2013.05.20,惠普打印机韩国有限公司,金炳圭;??韩海哲;??久当真一,韩国京畿道,G03G21/14(2006.01)I;??G03G15/08(2006.01)I
12,自行车踢脚联动锁,CN103434589B,2019.07.12,2.0131E+12,2013.08.09,浙江理工大学,林璐;,310018浙江省杭州市下沙高教园区浙江理工大学,B62H5/18(2006.01)I;??B62H1/02(2006.01)I
13,烘焙咖啡豆用于调节皮肤色素沉着的用途,CN103517699B,2019.07.12,201180037544X,2011.07.29,雀巢产品技术援助有限公司;??欧莱雅公司,K·克雷亨比尔;,瑞士沃韦,A61K8/02(2006.01)I;
14,二氢查耳酮的生物技术生产方法,CN103571892B,2019.07.12,201310325521X,2013.07.30,西姆莱斯有限公司,延斯-迈克尔·希尔默;,德国霍尔茨明登,C12P7/26(2006.01)I;
15,网络访问的方法和装置,CN103581351B,2019.07.12,2.0121E+12,2012.07.27,腾讯科技（深圳）有限公司,谭正谊;,518000广东省深圳市福田区赛格科技园2栋东403室,H04L29/12(2006.01)I;??H04L29/08(2006.01)I
16,基于局域网的供电系统中供电端设备的测试系统及方法,CN103595575B,2019.07.12,2.0121E+12,2012.08.15,上海斐讯数据通信技术有限公司,陈奎,201617上海市松江区石湖荡镇塔闵路579弄-26号,H04L12/26(2006.01)I;??H04L12/10(2006.01)I
17,相机的控制方法及相机,CN103607536B,2019.07.12,2.01311E+12,2013.10.29,北京智谷睿拓技术服务有限公司,黄伟才,100085北京市海淀区小营西路33号1层1F05室,H04N5/232(2006.01)I;??G06F21/60(2013.01)N
18,一种耳机接口装置及基于所述耳机接口装置的控制方法,CN103702249B,2019.07.12,2.0121E+12,2012.09.28,上海斐讯数据通信技术有限公司,徐至强,201616上海市松江区广富林路4855号大业领地20号,H04R1/10(2006.01)I;??H04M1/725(2006.01)I
19,一种内消杂光星敏感器,CN103743397B,2019.07.12,2.01311E+12,2013.12.18,北京控制工程研究所,郝云彩,100190北京市海淀区中关村南街16号,G01C21/02(2006.01)I
20,一种具有中间像的星敏感器成像结构,CN103743398B,2019.07.12,2.01311E+12,2013.12.18,北京控制工程研究所,郝云彩,100190北京市海淀区中关村南街16号,G01C21/02(2006.01)I;??G02B6/08(2006.01)I
21,包含阳离子对氨基苯酚氧化显色碱的染料组合物,CN103764111B,2019.07.12,2.0128E+12,2012.09.13,莱雅公司,A.法德利,法国巴黎,A61K8/41(2006.01)I;
22,一种微藻的培养方法,CN103773687B,2019.07.12,2.0121E+12,2012.10.23,中国石油化工股份有限公司;,师文静;,100728北京市朝阳区朝阳门北大街22号,C12N1/12(2006.01)I;??C12R1/89(2006.01)N
23,前体的制造方法、超导线材的制造方法、前体和超导线材,CN103824647B,2019.07.12,2.01311E+12,2009.11.18,住友电气工业株式会社;??东洋钢钣株式会社,太田肇,日本大阪府,H01B13/00(2006.01)I;??H01B12/00(2006.01)I
24,一种应用于GPON光模块和BOB的芯片,CN103840884B,2019.07.12,2.0141E+12,2014.03.27,上海斐讯数据通信技术有限公司,林金文,201616上海市松江区广富林路4855弄20号、90号,H04B10/40(2013.01)I
25,玫瑰红景天提取物和分离的化合物及其在治疗神经变性疾病中的应用,CN103857400B,2019.07.12,2.0128E+12,2012.08.08,香港科技大学,叶玉如;,中国香港九龙清水湾,A61K31/7034(2006.01)I;
26,包括非晶金属氧化物的电化学装置,CN103887532B,2019.07.12,2.01311E+12,2013.12.19,福特全球技术公司,杨俊;,美国密歇根州迪尔伯恩市,H01M8/00(2016.01)I;
27,可携式电子装置、内容推荐方法及计算机可读媒体,CN103902640B,2019.07.12,2.01311E+12,2013.12.16,宏达国际电子股份有限公司,谭博文;??杨雅筑,中国台湾桃园县,G06F16/54(2019.01)I
28,用于变速器的同步器,CN103912601B,2019.07.12,2.0131E+12,2013.07.17,现代自动车株式会社,朴钟闰;??渔顺基,韩国首尔,F16D23/06(2006.01)I
29,生成页面的方法及服务器,CN103914293B,2019.07.12,201310003750X,2013.01.06,腾讯科技（北京）有限公司,张耀辉,100089北京市海淀区海淀大街38号银科大厦16层1601-1608室,G06F9/451(2018.01)I;??G06F16/958(2019.01)I
30,病变诊断设备和方法,CN103919573B,2019.07.12,2.0141E+12,2014.01.10,三星电子株式会社,李在哲;??禹景久;??成英庆,韩国京畿道水原市,A61B8/00(2006.01)I
31,玻璃陶瓷板及其生产方法,CN103922611B,2019.07.12,2.0141E+12,2006.05.16,尤罗科拉公司,F.德莫尔;??P.维拉托,法国蒂耶里堡,C03C17/34(2006.01)I;??F24C15/10(2006.01)I
32,胶粘薄膜、切割/芯片接合薄膜、半导体装置的制造方法及半导体装置,CN103923573B,2019.07.12,2.0141E+12,2014.01.10,日东电工株式会社,宍户雄一郎;??三隅贞仁;??大西谦司,日本大阪,C09J7/40(2018.01)I;
33,排风源热泵驱动新风系统,CN103925657B,2019.07.12,2.0141E+12,2014.04.01,侴乔力,侴乔力;??侴雨宏;??魏蔚,230051安徽省合肥市水阳江路菱水苑南7号楼301室,F24F3/153(2006.01)I
34,用于载波聚合的通信设备的控制,CN103945468B,2019.07.12,201410117402X,2010.04.26,日本电气株式会社,贾格迪普·辛格·阿卢瓦利亚;??罗伯特·阿诺特,日本东京都,H04W36/06(2009.01)I;
35,用于便携式终端的天线设备,CN103972637B,2019.07.12,2.0141E+12,2014.01.28,三星电子株式会社,黄淳晧;,韩国京畿道,H01Q1/22(2006.01)I;
36,用来聚集多装置的控制的系统和方法,CN103985228B,2019.07.12,2.0141E+12,2014.01.30,霍尼韦尔国际公司,J.A.兹亚多什;??S.齐,美国新泽西州,G08B25/00(2006.01)I;??H04N7/18(2006.01)I
37,拍摄图像的设备和方法,CN104010135B,2019.07.12,2.0141E+12,2014.02.26,三星电子株式会社,金汶洙;??崔烘硕,韩国京畿道水原市,H04N5/262(2006.01)I;??H04N5/265(2006.01)I
38,井下桥塞下入工具,CN104011320B,2019.07.12,2.0128E+12,2012.12.04,贝克休斯公司,P·马德罗;,美国得克萨斯,E21B23/06(2006.01)I;??E21B33/12(2006.01)I
39,一种鳗鲡早期仔鱼的开口饵料及其培育方法,CN104012759B,2019.07.12,2.0141E+12,2014.05.12,何卫星,何卫星,214500江苏省靖江市马桥镇集福村前门棣前东生产队67号,A23K50/80(2016.01)I;
40,一种用于访问网页的方法及装置,CN104021203B,2019.07.12,2.0141E+12,2014.06.17,贝壳网际（北京）安全技术有限公司,刘阳;??关翔,100041北京市石景山区八大处高科技园西井路3号3号楼1100A,G06F16/957(2019.01)I
41,玻璃陶瓷板及其生产方法,CN103922611B,2019.07.12,2.0141E+12,2006.05.16,尤罗科拉公司,F.德莫尔;??P.维拉托,法国蒂耶里堡,C03C17/34(2006.01)I;??F24C15/10(2006.01)I
42,胶粘薄膜、切割/芯片接合薄膜、半导体装置的制造方法及半导体装置,CN103923573B,2019.07.12,2.0141E+12,2014.01.10,日东电工株式会社,宍户雄一郎;??三隅贞仁;??大西谦司,日本大阪,C09J7/40(2018.01)I;
43,排风源热泵驱动新风系统,CN103925657B,2019.07.12,2.0141E+12,2014.04.01,侴乔力,侴乔力;??侴雨宏;??魏蔚,230051安徽省合肥市水阳江路菱水苑南7号楼301室,F24F3/153(2006.01)I
44,用于载波聚合的通信设备的控制,CN103945468B,2019.07.12,201410117402X,2010.04.26,日本电气株式会社,贾格迪普·辛格·阿卢瓦利亚;??罗伯特·阿诺特,日本东京都,H04W36/06(2009.01)I;
