item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
1,流体处理系统和包括所述流体处理系统的仪器,CN209102019U,2019.07.12,2015900012810,2015.12.03,珀金埃尔默健康科学股份有限公司,S.艾伦,美国马萨诸塞州,G01B11/26(2006.01)I;
2,一种多功能水槽,CN209099453U,2019.07.12,201621390303X,2016.12.16,浙江帅丰电器有限公司,邵于佶,312400浙江省绍兴市嵊州经济开发区普田大道157号,E03C1/182(2006.01)I;
3,一种熏香容器,CN209092272U,2019.07.12,2017208726491,2017.07.18,福建省德化县恒星陶瓷有限公司,林锦明,362500福建省泉州市德化县浔中镇诗墩工业项目区二期东侧,A61L9/03(2006.01)I
4,医疗废弃针头收集盒,CN209092417U,2019.07.12,2017214182362,2017.10.25,无锡市第五人民医院,阎岩; 卢洪洲; 任勇,214000江苏省无锡市崇安区兴源中路88号,A61M5/32(2006.01)I;
5,一种用于高度近视白内障的长直径、大光学面多焦点人工晶状体,CN209091743U,2019.07.12,2017212934694,2017.10.09,复旦大学附属眼耳鼻喉科医院,竺向佳;,200031上海市徐汇区汾阳路83号,A61F2/16(2006.01)I;
6,小儿肘关节矫正器,CN209091776U,2019.07.12,2017206322629,2017.06.01,邓尚梁,常燕群;,510000广东省广州市番禺区南村镇兴南大道521号广东省妇幼保健院康复科,A61F5/01(2006.01)I  
7,一种床用靠背架,CN209091943U,2019.07.12,2017208458375,2017.07.12,南通市传染病防治院（南通市第三人民医院、南通市老年病医院、南通市肝病研究所）,黄春雨; 王美兰; 钱湘云,226000江苏省南通市青年中路,A61G7/05(2006.01)I
8,一种肿瘤外科患者用一次性降温贴,CN209091834U,2019.07.12,201720882790X,2017.07.20,杨森,杨森;,100027北京市朝阳区工体东路四号武警北京总队执勤第九支队保障部,A61F7/02(2006.01)I
9,取物袋及取物袋组件,CN209091577U,2019.07.12,2017209958528,2017.08.09,武汉君安友联医疗科技有限责任公司,笱登鹏;,430206湖北省武汉市东湖新技术开发区高新大道818号B12栋4楼,A61B17/50(2006.01)I;
10,一种恒温杯,CN209090646U,2019.07.12,2017210176502,2017.08.15,云南靖创液态金属热控技术研发有限公司,蒋清林; 盛磊; 刘静,655000云南省曲靖市麒麟区金麟湾5栋,A47G19/22(2006.01)I
11,一种便于使用的杯子,CN209090647U,2019.07.12,2017210176837,2017.08.15,东阳市好源纸杯厂,刘希悦,322100浙江省金华市东阳市白云街道十里头村1幢,A47G19/22(2006.01)I
12,卧床起身辅助椅及医疗设备,CN209091947U,2019.07.12,2017212001786,2017.09.18,佛山市顺德区欣巢家具制品有限公司,王炳炎,528000广东省佛山市顺德区大良古鉴村委会顺翔路31号二楼之二,A61G7/053(2006.01)I; A61G5/02(2006.01)I
